match_id,home_team,away_team,home_goals,away_goals,match_outcome,Home_Ball_Possession,Home_Pass_Accuracy,Home_Total_Shots,Home_Expected_Goals,Away_Ball_Possession,Away_Pass_Accuracy,Away_Total_Shots,Away_Expected_Goals
1035446,Aston Villa,Tottenham,0,4,Loss,,,,,,,,
1035452,West Ham,Burnley,2,2,Draw,,,,,,,,
1035447,Brighton,Nottingham Forest,1,0,Win,,,,,,,,
1035450,Liverpool,Manchester City,1,1,Draw,,,,,,,,
1035448,Chelsea,Newcastle,3,2,Win,,,,,,,,
1035334,Bournemouth,Luton,4,3,Win,,,,,,,,
1035456,Burnley,Brentford,2,1,Win,,,,,,,,
1035460,Luton,Nottingham Forest,1,1,Draw,,,,,,,,
1035459,Fulham,Tottenham,3,0,Win,,,,,,,,
1035462,West Ham,Aston Villa,1,1,Draw,,,,,,,,
1035470,Newcastle,West Ham,4,3,Win,,,,,,,,
1035464,Bournemouth,Everton,2,1,Win,,,,,,,,
1035473,Tottenham,Luton,2,1,Win,,,,,,,,
1035467,Chelsea,Burnley,2,2,Draw,,,,,,,,
1035472,Sheffield Utd,Fulham,3,3,Draw,,,,,,,,
1035471,Nottingham Forest,Crystal Palace,1,1,Draw,,,,,,,,
1035465,Aston Villa,Wolves,2,0,Win,,,,,,,,
1035466,Brentford,Manchester United,1,1,Draw,,,,,,,,
1035468,Liverpool,Brighton,2,1,Win,,,,,,,,
1035469,Manchester City,Arsenal,0,0,Draw,,,,,,,,
1035481,Newcastle,Everton,1,1,Draw,,,,,,,,
1035478,Nottingham Forest,Fulham,3,1,Win,,,,,,,,
1035474,Bournemouth,Crystal Palace,1,0,Win,,,,,,,,
1035477,Burnley,Wolves,1,1,Draw,,,,,,,,
1035479,West Ham,Tottenham,1,1,Draw,,,,,,,,
1035475,Arsenal,Luton,2,0,Win,,,,,,,,
1035476,Brentford,Brighton,0,0,Draw,,,,,,,,
1035483,Manchester City,Aston Villa,4,1,Win,,,,,,,,
1035482,Liverpool,Sheffield Utd,3,1,Win,,,,,,,,
1035480,Chelsea,Manchester United,4,3,Win,,,,,,,,
1035486,Crystal Palace,Manchester City,2,4,Loss,,,,,,,,
1035488,Fulham,Newcastle,0,1,Loss,,,,,,,,
1035493,Wolves,West Ham,1,2,Loss,,,,,,,,
1035487,Everton,Burnley,1,0,Win,,,,,,,,
1035484,Aston Villa,Brentford,3,3,Draw,,,,,,,,
1035489,Luton,Bournemouth,2,1,Win,,,,,,,,
1035485,Brighton,Arsenal,0,3,Loss,,,,,,,,
1035490,Manchester United,Liverpool,2,2,Draw,,,,,,,,
1035491,Sheffield Utd,Chelsea,2,2,Draw,,,,,,,,
1035492,Tottenham,Nottingham Forest,3,1,Win,,,,,,,,
1035501,Newcastle,Tottenham,4,0,Win,,,,,,,,
1035497,Burnley,Brighton,1,1,Draw,,,,,,,,
1035500,Manchester City,Luton,5,1,Win,,,,,,,,
1035496,Brentford,Sheffield Utd,2,0,Win,,,,,,,,
1035502,Nottingham Forest,Wolves,2,2,Draw,,,,,,,,
1035494,Bournemouth,Manchester United,2,2,Draw,,,,,,,,
1035499,Liverpool,Crystal Palace,0,1,Loss,,,,,,,,
1035503,West Ham,Fulham,0,2,Loss,,,,,,,,
1035495,Arsenal,Aston Villa,0,2,Loss,,,,,,,,
1035498,Chelsea,Everton,6,0,Win,,,,,,,,
1035511,Sheffield Utd,Burnley,1,4,Loss,,,,,,,,
1035509,Luton,Brentford,1,5,Loss,,,,,,,,
1035513,Wolves,Arsenal,0,2,Loss,,,,,,,,
1035507,Everton,Nottingham Forest,2,0,Win,,,,,,,,
1035506,Crystal Palace,West Ham,5,2,Win,,,,,,,,
1035504,Aston Villa,Bournemouth,3,1,Win,,,,,,,,
1035508,Fulham,Liverpool,1,3,Loss,,,,,,,,
1035454,Arsenal,Chelsea,5,0,Win,,,,,,,,
1035463,Wolves,Bournemouth,0,1,Loss,,,,,,,,
1035461,Manchester United,Sheffield Utd,4,2,Win,,,,,,,,
1035458,Everton,Liverpool,2,0,Win,,,,,,,,
1035457,Crystal Palace,Newcastle,2,0,Win,,,,,,,,
1035455,Brighton,Manchester City,0,4,Loss,,,,,,,,
1035522,West Ham,Liverpool,2,2,Draw,,,,,,,,
1035518,Manchester United,Burnley,1,1,Draw,,,,,,,,
1035519,Newcastle,Sheffield Utd,5,1,Win,,,,,,,,
1035517,Fulham,Crystal Palace,1,1,Draw,,,,,,,,
1035523,Wolves,Luton,2,1,Win,,,,,,,,
1035516,Everton,Brentford,1,0,Win,,,,,,,,
1035515,Aston Villa,Chelsea,2,2,Draw,,,,,,,,
1035514,Bournemouth,Brighton,3,0,Win,,,,,,,,
1035521,Tottenham,Arsenal,2,3,Loss,,,,,,,,
1035520,Nottingham Forest,Manchester City,0,2,Loss,,,,,,,,
1035428,Chelsea,Tottenham,2,0,Win,,,,,,,,
1035531,Luton,Everton,1,1,Draw,,,,,,,,
1035524,Arsenal,Bournemouth,3,0,Win,,,,,,,,
1035527,Burnley,Newcastle,1,4,Loss,,,,,,,,
1035525,Brentford,Fulham,0,0,Draw,,,,,,,,
1035533,Sheffield Utd,Nottingham Forest,1,3,Loss,,,,,,,,
1035532,Manchester City,Wolves,5,1,Win,,,,,,,,
1035528,Chelsea,West Ham,5,0,Win,,,,,,,,
1035526,Brighton,Aston Villa,1,0,Win,,,,,,,,
1035530,Liverpool,Tottenham,4,2,Win,,,,,,,,
1035529,Crystal Palace,Manchester United,4,0,Win,,,,,,,,
1035537,Fulham,Manchester City,0,4,Loss,,,,,,,,
1035539,Newcastle,Brighton,1,1,Draw,,,,,,,,
1035534,Bournemouth,Brentford,1,2,Loss,,,,,,,,
1035543,Wolves,Crystal Palace,1,3,Loss,,,,,,,,
1035536,Everton,Sheffield Utd,1,0,Win,,,,,,,,
1035541,Tottenham,Burnley,2,1,Win,,,,,,,,
1035542,West Ham,Luton,3,1,Win,,,,,,,,
1035540,Nottingham Forest,Chelsea,2,3,Loss,,,,,,,,
1035538,Manchester United,Arsenal,0,1,Loss,,,,,,,,
1035535,Aston Villa,Liverpool,3,3,Draw,,,,,,,,
1035512,Tottenham,Manchester City,0,2,Loss,,,,,,,,
1035505,Brighton,Chelsea,1,2,Loss,,,,,,,,
1035510,Manchester United,Newcastle,3,2,Win,,,,,,,,
1035550,Liverpool,Wolves,2,0,Win,,,,,,,,
1035544,Arsenal,Everton,2,1,Win,,,,,,,,
1035547,Burnley,Nottingham Forest,1,2,Loss,,,,,,,,
1035548,Chelsea,Bournemouth,2,1,Win,,,,,,,,
1035552,Manchester City,West Ham,3,1,Win,,,,,,,,
1035546,Brighton,Manchester United,0,2,Loss,,,,,,,,
1035549,Crystal Palace,Aston Villa,5,0,Win,,,,,,,,
1035545,Brentford,Newcastle,2,4,Loss,,,,,,,,
1035553,Sheffield Utd,Tottenham,0,3,Loss,,,,,,,,
1035551,Luton,Fulham,2,4,Loss,,,,,,,,
